application_number,filing_date,uspc_class,cpc4,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code
11645674,27/12/06,706,F01D,hiromichi,,ito,4,,JP
11645674,27/12/06,706,F01D,kazuhiro,,saito,1,,JP
11645674,27/12/06,706,F01D,yomei,,yoshioka,2,,JP
11645674,27/12/06,706,F01D,hiroaki,,koinuma,6,,JP
11645674,27/12/06,706,F01D,ryoji,,nagano,5,,JP
11645674,27/12/06,706,F01D,koji,,matsuyama,3,,JP
11650934,09/01/07,706,G06N,hideki,,kobayashi,2,,JP
11650934,09/01/07,706,G06N,tomoko,,murakami,1,,JP
11654103,17/01/07,706,B25J,fumihide,,tanaka,2,,JP
11665681,19/03/08,706,H04N,naoaki,,horiuchi,1,,JP
11676331,19/02/07,706,G06F,akihiko,,fujiwara,1,,JP
11684795,12/03/07,706,G05B,hiroshi,,sato,1,,JP
11695250,02/04/07,706,G06F,kazushi,,ozawa,2,,JP
11695250,02/04/07,706,G06F,yoshitsugu,,hirose,1,,JP
11695635,03/04/07,706,G06F,yoshitsugu,,hirose,1,,JP
11695635,03/04/07,706,G06F,kazushi,,ozawa,2,,JP
11695926,03/04/07,706,H05K,yasuaki,,nakajima,2,,JP
11695926,03/04/07,706,H05K,junpei,,koga,1,,JP
11695926,03/04/07,706,H05K,kazuto,,kojitani,3,,JP
11697231,05/04/07,706,G06F,yoshimasa,,masuoka,2,,JP
11697231,05/04/07,706,G06F,tomohiro,,morimura,1,,JP
11697238,05/04/07,706,G06F,jun,,yokono,3,,JP
11697238,05/04/07,706,G06F,kuniaki,,noda,5,,JP
11697238,05/04/07,706,G06F,kazumi,,aoyama,2,,JP
11697238,05/04/07,706,G06F,kohtaro,,sabe,1,,JP
11697238,05/04/07,706,G06F,kenichi,,hidai,4,,JP
11699428,30/01/07,706,G06K,hirotaka,,suzuki,4,,JP
11699428,30/01/07,706,G06K,katsuki,,minamino,2,,JP
11699428,30/01/07,706,G06K,yukiko,,yoshiike,3,,JP
11699428,30/01/07,706,G06K,masato,,ito,1,,JP
11699428,30/01/07,706,G06K,kenta,,kawamoto,5,,JP
11713802,05/03/07,706,G06Q,takashi,,koiso,5,,JP
11713802,05/03/07,706,G06Q,ichiro,,toyoshima,1,,JP
11713802,05/03/07,706,G06Q,ryohei,,orihara,3,,JP
11713802,05/03/07,706,G06Q,hideki,,kobayashi,4,,JP
11713802,05/03/07,706,G06Q,naoki,,imasaki,2,,JP
